ticket_id,bus_id,route_id,source_stop,destination_stop,boarding_date,boarding_time,passenger_count
TKT00072,B301,R03,S20,S21,02-09-2026,09:16,3
TKT00073,B202,R02,S15,S17,03-09-2026,08:01,2
TKT00074,B202,R02,S13,S02,04-09-2026,09:14,1
TKT00075,B402,R04,S24,S25,05-09-2026,17:09,5
TKT00076,B102,R01,S02,S09,06-09-2026,08:53,2
TKT00077,B502,R05,S07,S20,07-09-2026,17:44,3
TKT00078,B101,R01,S06,S07,08-09-2026,07:57,3
TKT00079,B302,R03,S21,S22,09-09-2026,18:52,2
TKT00080,B101,R01,S04,S08,10-09-2026,10:37,1
TKT00081,B301,R03,S15,S07,11-09-2026,13:56,2
TKT00082,B301,R03,S20,S23,12-09-2026,10:50,3
TKT00083,B303,R03,S07,S20,13-09-2026,10:17,2
TKT00084,B203,R02,S14,S16,14-09-2026,18:53,2
TKT00085,B101,R01,S08,S09,01-09-2026,13:25,1
TKT00086,B203,R02,S13,S02,02-09-2026,09:36,3
TKT00087,B102,R01,S07,S10,03-09-2026,09:34,1
TKT00088,B101,R01,S03,S07,04-09-2026,08:31,1
TKT00089,B202,R02,S15,S17,05-09-2026,21:32,1
TKT00090,B203,R02,S16,S17,06-09-2026,16:07,1
TKT00091,B102,R01,S01,S04,07-09-2026,08:06,2
TKT00092,B402,R04,S06,S05,08-09-2026,15:32,1
TKT00093,B502,R05,S13,S03,09-09-2026,18:25,2
TKT00094,B103,R01,S05,S07,10-09-2026,18:27,3
TKT00095,B103,R01,S05,S07,11-09-2026,17:39,2
TKT00096,B403,R04,S03,S01,12-09-2026,14:02,1
TKT00097,B101,R01,S07,S09,13-09-2026,21:28,1
TKT00098,B302,R03,S15,S19,14-09-2026,14:58,1
TKT00099,B502,R05,S04,S20,01-09-2026,17:03,1
TKT00100,B102,R01,S01,S02,02-09-2026,19:36,3
TKT00101,B502,R05,S03,S07,03-09-2026,20:52,1
TKT00102,B202,R02,S13,S18,04-09-2026,15:39,2
TKT00103,B103,R01,S08,S10,05-09-2026,10:01,1
TKT00104,B301,R03,S22,S23,06-09-2026,14:52,1
TKT00105,B101,R01,S04,S07,07-09-2026,19:02,4
TKT00106,B303,R03,S15,S19,08-09-2026,14:33,1
TKT00107,B101,R01,S05,S08,09-09-2026,19:54,4
TKT00108,B401,R04,S03,S28,10-09-2026,18:10,2
TKT00109,B401,R04,S05,S28,11-09-2026,17:32,4
TKT00110,B503,R05,S07,S20,12-09-2026,08:23,3
TKT00111,B101,R01,S07,S09,13-09-2026,09:35,1
TKT00112,B201,R02,S11,S13,14-09-2026,09:09,1
TKT00113,B101,R01,S07,S09,01-09-2026,07:10,2
TKT00114,B102,R01,S09,S10,02-09-2026,08:00,4
TKT00115,B102,R01,S05,S09,03-09-2026,18:59,2
TKT00116,B102,R01,S02,S08,04-09-2026,13:32,1
TKT00117,B401,R04,S03,S28,05-09-2026,15:57,2
TKT00118,B201,R02,S15,S17,06-09-2026,19:11,3
TKT00119,B202,R02,S02,S16,07-09-2026,08:48,1
TKT00120,B102,R01,S04,S07,08-09-2026,08:38,3
TKT00121,B102,R01,S05,S09,09-09-2026,18:15,4
TKT00122,B502,R05,S29,S30,10-09-2026,14:38,2
TKT00123,B101,R01,S05,S07,11-09-2026,07:20,2
TKT00124,B302,R03,S19,S23,12-09-2026,12:40,1
TKT00125,B102,R01,S02,S06,13-09-2026,18:22,2
TKT00126,B102,R01,S04,S10,14-09-2026,08:37,1
TKT00127,B203,R02,S11,S18,01-09-2026,09:17,2
TKT00128,B101,R01,S03,S04,02-09-2026,19:46,2
TKT00129,B102,R01,S03,S05,03-09-2026,18:39,1
TKT00130,B302,R03,S15,S19,04-09-2026,12:30,4
TKT00131,B101,R01,S05,S08,05-09-2026,17:05,2
TKT00132,B101,R01,S01,S02,06-09-2026,18:09,1
TKT00133,B403,R04,S05,S03,07-09-2026,09:00,2
TKT00134,B103,R01,S05,S08,08-09-2026,17:09,2
TKT00135,B203,R02,S14,S15,09-09-2026,19:36,3
TKT00136,B301,R03,S15,S20,10-09-2026,11:44,1
TKT00137,B503,R05,S02,S04,11-09-2026,08:26,3
TKT00138,B102,R01,S07,S09,12-09-2026,08:10,3
TKT00139,B101,R01,S05,S10,13-09-2026,17:41,1
TKT00140,B503,R05,S04,S20,14-09-2026,18:45,3
TKT00141,B102,R01,S02,S06,01-09-2026,08:00,2
TKT00142,B101,R01,S02,S07,02-09-2026,13:30,2
TKT00143,B501,R05,S04,S07,03-09-2026,07:56,4
TKT00144,B203,R02,S02,S15,04-09-2026,20:11,3
TKT00145,B303,R03,S15,S19,05-09-2026,20:32,2
TKT00146,B403,R04,S25,S26,06-09-2026,19:26,3
TKT00147,B101,R01,S02,S09,07-09-2026,06:40,3
TKT00148,B303,R03,S06,S21,08-09-2026,09:42,2
TKT00149,B303,R03,S22,S23,09-09-2026,09:06,3
TKT00150,B202,R02,S17,S18,10-09-2026,17:03,3
TKT00151,B301,R03,S22,S23,11-09-2026,17:48,2
TKT00152,B402,R04,S05,S01,12-09-2026,18:22,2
TKT00153,B403,R04,S03,S01,13-09-2026,15:12,1
TKT00154,B503,R05,S13,S03,14-09-2026,07:46,2
TKT00155,B101,R01,S08,S09,01-09-2026,17:25,2
TKT00156,B203,R02,S16,S17,02-09-2026,06:58,1
TKT00157,B201,R02,S16,S17,03-09-2026,19:42,4
TKT00158,B102,R01,S06,S07,04-09-2026,15:58,4
TKT00159,B502,R05,S02,S03,05-09-2026,10:16,4
TKT00160,B102,R01,S05,S08,06-09-2026,07:00,1
TKT00161,B502,R05,S13,S02,07-09-2026,09:39,1
TKT00162,B503,R05,S03,S07,08-09-2026,09:23,2
TKT00163,B401,R04,S24,S06,09-09-2026,17:27,1
TKT00164,B101,R01,S06,S07,10-09-2026,18:36,3
TKT00165,B102,R01,S05,S09,11-09-2026,19:02,1
TKT00166,B402,R04,S03,S28,12-09-2026,09:21,2
TKT00167,B503,R05,S03,S04,13-09-2026,19:53,3
TKT00168,B202,R02,S16,S17,14-09-2026,19:58,3
TKT00169,B301,R03,S07,S20,01-09-2026,18:40,2
TKT00170,B202,R02,S15,S16,02-09-2026,16:21,2
TKT00171,B303,R03,S16,S07,03-09-2026,08:06,5
TKT00172,B102,R01,S07,S09,04-09-2026,19:17,1
TKT00173,B303,R03,S22,S23,05-09-2026,09:48,1
TKT00174,B502,R05,S30,S13,06-09-2026,18:00,1
TKT00175,B401,R04,S03,S28,07-09-2026,10:50,1
TKT00176,B102,R01,S01,S03,08-09-2026,13:47,1
TKT00177,B103,R01,S09,S10,09-09-2026,16:51,3
TKT00178,B402,R04,S05,S03,10-09-2026,16:48,2
TKT00179,B103,R01,S02,S05,11-09-2026,09:22,2
TKT00180,B502,R05,S13,S04,12-09-2026,11:41,4
TKT00181,B102,R01,S04,S05,13-09-2026,17:26,2
TKT00182,B503,R05,S30,S13,14-09-2026,18:45,3
TKT00183,B101,R01,S07,S09,01-09-2026,09:11,2
TKT00184,B303,R03,S15,S06,02-09-2026,19:11,2
TKT00185,B201,R02,S17,S18,03-09-2026,16:35,1
TKT00186,B202,R02,S16,S18,04-09-2026,17:38,1
TKT00187,B201,R02,S15,S17,05-09-2026,07:29,1
TKT00188,B103,R01,S03,S07,06-09-2026,17:30,4
TKT00189,B403,R04,S05,S03,07-09-2026,15:56,1
TKT00190,B101,R01,S06,S10,08-09-2026,07:21,2
TKT00191,B403,R04,S25,S06,09-09-2026,18:09,1
TKT00192,B503,R05,S04,S07,10-09-2026,19:33,2
TKT00193,B103,R01,S08,S10,11-09-2026,19:41,2
TKT00194,B103,R01,S05,S07,12-09-2026,19:30,3
TKT00195,B103,R01,S05,S07,13-09-2026,09:54,1
TKT00196,B201,R02,S02,S15,14-09-2026,07:57,4
TKT00197,B501,R05,S04,S20,01-09-2026,09:10,1
TKT00198,B301,R03,S16,S19,02-09-2026,08:46,3
TKT00199,B402,R04,S03,S01,03-09-2026,14:53,2
TKT00200,B501,R05,S13,S20,04-09-2026,08:55,1
TKT00201,B303,R03,S07,S22,05-09-2026,09:56,1
TKT00202,B303,R03,S07,S23,06-09-2026,17:02,4
TKT00203,B402,R04,S25,S26,07-09-2026,17:02,2
TKT00204,B102,R01,S08,S09,08-09-2026,08:05,2
TKT00205,B402,R04,S05,S28,09-09-2026,18:13,1
TKT00206,B401,R04,S28,S01,10-09-2026,08:47,4
TKT00207,B403,R04,S07,S03,11-09-2026,08:30,4
TKT00208,B101,R01,S02,S07,12-09-2026,13:42,1
TKT00209,B503,R05,S07,S20,13-09-2026,07:37,2
TKT00210,B203,R02,S11,S16,14-09-2026,07:48,2
TKT00211,B103,R01,S02,S05,01-09-2026,07:22,4
TKT00212,B401,R04,S06,S03,02-09-2026,13:11,1
TKT00213,B401,R04,S07,S01,03-09-2026,07:05,2
TKT00214,B201,R02,S14,S17,04-09-2026,17:30,3
TKT00215,B202,R02,S17,S18,05-09-2026,13:18,1
TKT00216,B303,R03,S07,S23,06-09-2026,08:32,2
TKT00217,B102,R01,S07,S08,07-09-2026,13:11,1
TKT00218,B102,R01,S07,S09,08-09-2026,18:44,3
TKT00219,B503,R05,S11,S20,09-09-2026,09:35,4
TKT00220,B101,R01,S07,S08,10-09-2026,08:52,2
TKT00221,B101,R01,S04,S05,11-09-2026,12:34,1
TKT00222,B101,R01,S07,S10,12-09-2026,07:03,2
TKT00223,B403,R04,S03,S01,13-09-2026,15:30,1
TKT00224,B101,R01,S07,S10,14-09-2026,13:35,3
TKT00225,B202,R02,S02,S16,01-09-2026,16:58,1
TKT00226,B201,R02,S15,S17,02-09-2026,17:20,4
TKT00227,B402,R04,S24,S01,03-09-2026,08:55,1
TKT00228,B402,R04,S24,S26,04-09-2026,19:16,2
TKT00229,B101,R01,S05,S08,05-09-2026,12:49,1
TKT00230,B203,R02,S13,S02,06-09-2026,08:30,3
TKT00231,B202,R02,S12,S16,07-09-2026,08:07,3
TKT00232,B102,R01,S04,S07,08-09-2026,15:44,1
TKT00233,B302,R03,S07,S20,09-09-2026,19:09,3
TKT00234,B203,R02,S13,S16,10-09-2026,17:34,2
TKT00235,B102,R01,S01,S03,11-09-2026,19:17,1
TKT00236,B101,R01,S04,S05,12-09-2026,13:00,2
TKT00237,B103,R01,S01,S05,13-09-2026,19:49,3
TKT00238,B102,R01,S03,S04,14-09-2026,07:28,2
TKT00239,B101,R01,S06,S09,01-09-2026,10:27,1
TKT00240,B102,R01,S07,S08,02-09-2026,14:13,2
TKT00241,B502,R05,S11,S31,03-09-2026,09:34,3
TKT00242,B101,R01,S07,S08,04-09-2026,09:22,1
TKT00243,B403,R04,S05,S01,05-09-2026,18:32,2
TKT00244,B402,R04,S28,S01,06-09-2026,07:39,2
TKT00245,B201,R02,S11,S13,07-09-2026,07:16,3
TKT00246,B303,R03,S19,S20,08-09-2026,17:54,3
TKT00247,B201,R02,S16,S18,09-09-2026,07:03,3
TKT00248,B102,R01,S03,S08,10-09-2026,12:46,3
TKT00249,B303,R03,S21,S22,11-09-2026,14:20,1
TKT00250,B403,R04,S07,S28,12-09-2026,17:35,2
TKT00251,B503,R05,S03,S04,13-09-2026,09:48,3
TKT00252,B101,R01,S01,S05,14-09-2026,08:49,3
TKT00253,B302,R03,S22,S23,01-09-2026,09:36,1
TKT00254,B401,R04,S07,S05,02-09-2026,10:06,1
TKT00255,B101,R01,S01,S06,03-09-2026,08:46,1
TKT00256,B401,R04,S05,S01,04-09-2026,08:40,1
TKT00257,B303,R03,S19,S07,05-09-2026,19:54,2
TKT00258,B401,R04,S28,S01,06-09-2026,08:33,2
TKT00259,B101,R01,S01,S03,07-09-2026,18:28,3
TKT00260,B101,R01,S07,S10,08-09-2026,19:26,1
TKT00261,B103,R01,S07,S09,09-09-2026,16:39,1
TKT00262,B102,R01,S05,S06,10-09-2026,19:03,2
TKT00263,B403,R04,S28,S01,11-09-2026,11:50,1
TKT00264,B303,R03,S22,S23,12-09-2026,18:29,1
TKT00265,B203,R02,S16,S17,13-09-2026,09:18,4
TKT00266,B203,R02,S15,S16,14-09-2026,11:55,2
TKT00267,B102,R01,S08,S09,01-09-2026,17:11,3
TKT00268,B201,R02,S15,S16,02-09-2026,17:57,2
TKT00269,B501,R05,S03,S20,03-09-2026,18:20,2
TKT00270,B301,R03,S20,S21,04-09-2026,19:32,1
TKT00271,B202,R02,S16,S18,05-09-2026,19:36,1
TKT00272,B202,R02,S16,S18,06-09-2026,08:02,1
TKT00273,B401,R04,S26,S28,07-09-2026,17:46,1
TKT00274,B402,R04,S03,S01,08-09-2026,09:38,2
TKT00275,B201,R02,S17,S18,09-09-2026,17:40,4
TKT00276,B502,R05,S07,S20,10-09-2026,19:44,3
TKT00277,B101,R01,S07,S08,11-09-2026,08:34,4
TKT00278,B102,R01,S08,S09,12-09-2026,06:40,1
TKT00279,B202,R02,S13,S15,13-09-2026,13:12,1
TKT00280,B303,R03,S15,S19,14-09-2026,08:09,3
TKT00281,B101,R01,S09,S10,01-09-2026,15:35,1
TKT00282,B303,R03,S19,S06,02-09-2026,11:56,2
TKT00283,B301,R03,S16,S23,03-09-2026,12:18,1
TKT00284,B301,R03,S22,S23,04-09-2026,19:07,2
TKT00285,B201,R02,S11,S14,05-09-2026,10:19,2
TKT00286,B102,R01,S06,S10,06-09-2026,19:00,4
TKT00287,B501,R05,S29,S13,07-09-2026,16:22,1
TKT00288,B301,R03,S22,S23,08-09-2026,07:37,3
TKT00289,B502,R05,S04,S07,09-09-2026,08:11,2
TKT00290,B401,R04,S05,S03,10-09-2026,07:45,2
TKT00291,B301,R03,S07,S21,11-09-2026,17:44,1
TKT00292,B202,R02,S17,S18,12-09-2026,19:09,2
TKT00293,B301,R03,S22,S23,13-09-2026,18:36,2
TKT00294,B103,R01,S06,S07,14-09-2026,14:46,2
TKT00295,B301,R03,S07,S23,01-09-2026,18:34,4
TKT00296,B501,R05,S04,S07,02-09-2026,09:17,3
TKT00297,B101,R01,S08,S09,03-09-2026,08:02,3
TKT00298,B301,R03,S19,S06,04-09-2026,19:23,3
TKT00299,B203,R02,S14,S16,05-09-2026,16:32,1
TKT00300,B102,R01,S07,S08,06-09-2026,14:36,2
TKT00301,B203,R02,S12,S13,07-09-2026,07:13,3
TKT00302,B303,R03,S22,S23,08-09-2026,08:01,3
TKT00303,B302,R03,S22,S23,09-09-2026,17:23,3
TKT00304,B201,R02,S16,S18,10-09-2026,08:33,2
TKT00305,B102,R01,S09,S10,11-09-2026,12:10,2
TKT00306,B503,R05,S02,S07,12-09-2026,20:17,2
TKT00307,B203,R02,S02,S17,13-09-2026,16:50,2
TKT00308,B202,R02,S12,S18,14-09-2026,09:09,2
TKT00309,B103,R01,S08,S10,01-09-2026,09:39,2
TKT00310,B102,R01,S02,S10,02-09-2026,09:56,3
TKT00311,B101,R01,S07,S08,03-09-2026,13:49,1
TKT00312,B102,R01,S01,S07,04-09-2026,18:54,3
TKT00313,B501,R05,S07,S20,05-09-2026,13:08,3
TKT00314,B401,R04,S05,S03,06-09-2026,18:01,1
TKT00315,B102,R01,S07,S08,07-09-2026,08:41,4
TKT00316,B403,R04,S03,S01,08-09-2026,14:17,1
TKT00317,B301,R03,S06,S21,09-09-2026,16:33,2
TKT00318,B303,R03,S06,S20,10-09-2026,14:37,1
TKT00319,B102,R01,S04,S05,11-09-2026,16:37,2
TKT00320,B401,R04,S03,S28,12-09-2026,09:30,3
TKT00321,B501,R05,S03,S04,13-09-2026,17:48,3
TKT00322,B101,R01,S01,S09,14-09-2026,08:25,2
TKT00323,B303,R03,S22,S23,01-09-2026,15:39,1
TKT00324,B302,R03,S21,S22,02-09-2026,17:49,2
TKT00325,B101,R01,S08,S10,03-09-2026,08:47,2
TKT00326,B402,R04,S06,S05,04-09-2026,08:58,1
TKT00327,B301,R03,S15,S07,05-09-2026,08:53,3
TKT00328,B102,R01,S04,S05,06-09-2026,19:51,1
TKT00329,B402,R04,S07,S05,07-09-2026,19:11,2
TKT00330,B101,R01,S02,S06,08-09-2026,09:14,1
TKT00331,B103,R01,S07,S09,09-09-2026,19:05,2
TKT00332,B101,R01,S02,S04,10-09-2026,09:25,2
TKT00333,B401,R04,S28,S01,11-09-2026,17:43,1
TKT00334,B203,R02,S15,S17,12-09-2026,11:48,3
TKT00335,B101,R01,S06,S08,13-09-2026,14:14,2
TKT00336,B303,R03,S06,S07,14-09-2026,18:58,2
TKT00337,B502,R05,S31,S04,01-09-2026,17:34,2
TKT00338,B101,R01,S07,S09,02-09-2026,14:34,2
TKT00339,B202,R02,S11,S02,03-09-2026,15:30,2
TKT00340,B103,R01,S07,S08,04-09-2026,17:38,2
TKT00341,B202,R02,S17,S18,05-09-2026,19:44,1
TKT00342,B203,R02,S02,S17,06-09-2026,07:08,3
TKT00343,B201,R02,S13,S16,07-09-2026,08:51,3
TKT00344,B401,R04,S07,S03,08-09-2026,16:10,1
TKT00345,B203,R02,S16,S17,09-09-2026,14:07,1
TKT00346,B301,R03,S16,S22,10-09-2026,21:27,1
TKT00347,B201,R02,S11,S17,11-09-2026,15:44,1
TKT00348,B403,R04,S26,S28,12-09-2026,08:11,1
TKT00349,B303,R03,S15,S20,13-09-2026,13:34,1
TKT00350,B102,R01,S08,S09,14-09-2026,15:11,3
TKT00351,B203,R02,S17,S18,01-09-2026,17:06,2
TKT00352,B201,R02,S12,S13,02-09-2026,07:58,4
TKT00353,B303,R03,S07,S22,03-09-2026,14:27,4
TKT00354,B203,R02,S13,S17,04-09-2026,17:29,2
TKT00355,B202,R02,S15,S17,05-09-2026,10:44,1
TKT00356,B201,R02,S14,S15,06-09-2026,19:37,3
TKT00357,B103,R01,S03,S07,07-09-2026,17:48,1
TKT00358,B102,R01,S02,S05,08-09-2026,12:40,3
TKT00359,B503,R05,S11,S04,09-09-2026,16:58,1
TKT00360,B401,R04,S26,S07,10-09-2026,08:38,2
TKT00361,B103,R01,S07,S10,11-09-2026,13:53,1
TKT00362,B201,R02,S13,S02,12-09-2026,09:34,2
TKT00363,B202,R02,S14,S16,13-09-2026,18:00,2
TKT00364,B203,R02,S13,S16,14-09-2026,08:00,2
TKT00365,B401,R04,S05,S03,01-09-2026,17:10,1
TKT00366,B303,R03,S15,S19,02-09-2026,08:43,1
TKT00367,B101,R01,S07,S08,03-09-2026,08:46,1
TKT00368,B101,R01,S07,S08,04-09-2026,19:57,1
TKT00369,B303,R03,S22,S23,05-09-2026,09:59,1
TKT00370,B302,R03,S06,S07,06-09-2026,19:48,2
TKT00371,B102,R01,S08,S10,07-09-2026,09:34,4
TKT00372,B302,R03,S22,S23,08-09-2026,09:25,2
TKT00373,B501,R05,S02,S20,09-09-2026,13:55,1
TKT00374,B301,R03,S21,S22,10-09-2026,08:05,2
TKT00375,B203,R02,S11,S02,11-09-2026,10:38,2
TKT00376,B402,R04,S25,S07,12-09-2026,19:29,3
TKT00377,B401,R04,S24,S06,13-09-2026,16:49,1
TKT00378,B102,R01,S07,S09,14-09-2026,08:40,3
TKT00379,B202,R02,S13,S02,01-09-2026,19:19,1
TKT00380,B101,R01,S09,S10,02-09-2026,18:24,4
TKT00381,B102,R01,S05,S10,03-09-2026,15:27,2
TKT00382,B101,R01,S03,S06,04-09-2026,16:32,2
TKT00383,B401,R04,S25,S07,05-09-2026,09:03,1
TKT00384,B101,R01,S02,S04,06-09-2026,15:51,2
TKT00385,B102,R01,S05,S09,07-09-2026,09:22,2
TKT00386,B101,R01,S07,S09,08-09-2026,16:16,1
TKT00387,B503,R05,S07,S20,09-09-2026,16:47,2
TKT00388,B503,R05,S11,S04,10-09-2026,14:29,1
TKT00389,B201,R02,S02,S17,11-09-2026,19:38,1
TKT00390,B402,R04,S03,S28,12-09-2026,09:38,2
TKT00391,B501,R05,S04,S07,13-09-2026,08:02,1
TKT00392,B302,R03,S06,S20,14-09-2026,10:10,1
TKT00393,B102,R01,S08,S09,01-09-2026,10:10,1
TKT00394,B202,R02,S11,S13,02-09-2026,19:16,3
TKT00395,B402,R04,S28,S01,03-09-2026,08:26,5
TKT00396,B102,R01,S07,S09,04-09-2026,16:36,2
TKT00397,B203,R02,S16,S17,05-09-2026,19:23,3
TKT00398,B203,R02,S16,S18,06-09-2026,08:56,4
TKT00399,B103,R01,S09,S10,07-09-2026,09:46,3
TKT00400,B103,R01,S07,S10,08-09-2026,17:29,2
TKT00401,B501,R05,S13,S20,09-09-2026,13:21,1
TKT00402,B303,R03,S20,S22,10-09-2026,09:01,1
TKT00403,B203,R02,S16,S17,11-09-2026,08:49,2
TKT00404,B103,R01,S02,S10,12-09-2026,16:45,2
TKT00405,B301,R03,S06,S23,13-09-2026,12:27,2
TKT00406,B501,R05,S03,S07,14-09-2026,12:55,1
TKT00407,B303,R03,S07,S21,01-09-2026,07:32,2
TKT00408,B303,R03,S21,S22,02-09-2026,16:31,1
TKT00409,B103,R01,S09,S10,03-09-2026,10:48,1
TKT00410,B301,R03,S20,S22,04-09-2026,19:36,1
TKT00411,B203,R02,S14,S17,05-09-2026,09:01,1
TKT00412,B301,R03,S16,S15,06-09-2026,19:17,1
TKT00413,B301,R03,S21,S23,07-09-2026,06:51,1
TKT00414,B302,R03,S16,S07,08-09-2026,12:06,1
TKT00415,B302,R03,S20,S21,09-09-2026,16:43,1
TKT00416,B101,R01,S09,S10,10-09-2026,17:11,4
TKT00417,B302,R03,S15,S19,11-09-2026,09:25,4
TKT00418,B502,R05,S30,S20,12-09-2026,18:55,2
TKT00419,B201,R02,S11,S13,13-09-2026,20:04,1
TKT00420,B102,R01,S03,S04,14-09-2026,09:24,2
TKT00421,B503,R05,S02,S04,01-09-2026,07:24,3
TKT00422,B301,R03,S19,S20,02-09-2026,13:28,2
TKT00423,B301,R03,S16,S15,03-09-2026,08:42,2
TKT00424,B501,R05,S03,S20,04-09-2026,15:54,1
TKT00425,B201,R02,S11,S12,05-09-2026,19:25,4
TKT00426,B101,R01,S09,S10,06-09-2026,08:57,3
TKT00427,B501,R05,S13,S03,07-09-2026,21:06,1
TKT00428,B301,R03,S21,S23,08-09-2026,09:18,2
TKT00429,B102,R01,S01,S07,09-09-2026,17:08,1
TKT00430,B301,R03,S22,S23,10-09-2026,17:32,3
TKT00431,B202,R02,S15,S16,11-09-2026,19:36,1
TKT00432,B502,R05,S31,S02,12-09-2026,09:40,1
TKT00433,B203,R02,S16,S17,13-09-2026,08:10,4
TKT00434,B502,R05,S31,S13,14-09-2026,10:07,1
TKT00435,B103,R01,S06,S10,01-09-2026,11:55,1
TKT00436,B101,R01,S08,S10,02-09-2026,08:00,1
TKT00437,B402,R04,S24,S05,03-09-2026,17:15,3
TKT00438,B303,R03,S07,S21,04-09-2026,19:09,3
TKT00439,B403,R04,S28,S01,05-09-2026,17:26,2
TKT00440,B301,R03,S19,S23,06-09-2026,17:44,2
TKT00441,B102,R01,S05,S07,07-09-2026,09:12,3
TKT00442,B303,R03,S20,S22,08-09-2026,19:40,2
TKT00443,B303,R03,S20,S23,09-09-2026,09:47,2
TKT00444,B303,R03,S20,S22,10-09-2026,08:29,3
TKT00445,B402,R04,S06,S05,11-09-2026,14:20,1
TKT00446,B301,R03,S20,S21,12-09-2026,09:19,1
TKT00447,B201,R02,S13,S15,13-09-2026,07:06,3
TKT00448,B402,R04,S07,S06,14-09-2026,07:31,2
